oekobaudatName,oekobaudatUuid____448d1096-2017-4901-a560-f652a83c737e____2020-II,oekobaudatUuid____22885a6e-1765-4ade-a35e-ae668bd07256____2023-I,oekobaudatUuid____XXXXXXXXXXXX____2024-I,tBaustoffName,eolCategoryName,eolScenarioReal,eolScenarioPotential,technologyFactor
Marmorplatte,e9be7506-62ce-45b8-853f-c45c3f82401f,02ec5054-ace1-4ffc-a46b-92be3bedb416,03ed395a-bc7b-4287-9013-8ba3ac1a2900,Marmorplatte ,Steinboden (unproblem. imprägniert / beschichtet),RC+,RC+,1
,,,,MDF-Platte,Holzfaser - HDF/MDF,EV+,RC-,0.25
Mehrschichtparkett (generisch),3b66b7be-bc1e-4dd4-8779-453d4f81825f,ed739600-fbd0-4b3e-b577-453778a5270e,19c8f194-c3ab-4797-9b1a-8f1788bf12d8,Mehrschichtparkett  (unproblem. beschichtet),Parkett,RC-,RC-,1
Melaminharz-Schaum,7082b2c3-5203-40ba-a6f8-d16edba60f5f,cc54d8cb-f26c-41ea-a152-8b28f7fb5b1d,5383d573-9730-4786-9fe5-15d5fab0ec5c,Melaminharz-Schaum,"KSTDämm (Phenol, Melamin,…)",EB,EB,0
Messing-Bauteil,d9ee3a94-83a2-4615-b071-9afa3aaeff42,3d5b565c-187b-4413-ab45-3eaa89ede35d,fd3a4016-3f8c-4d8e-8bba-73b349781002,Messing-Bauteil,Messing,CL+,CL+,1
Metallbeschichtung (wasserbasiert),93eac197-0003-41ea-b81f-e517dd3389fb,af88e99e-5662-41cf-bf12-d963cd8d0c4e,4c02661d-8255-489e-91e7-f23191539ed9,Metallbeschichtung (wasserbasiert),Lacke (auf metall. Untergrund) nicht eingestuft,n.e.,n.e.,n.e.
Metalllack (lösemittelbasiert),118d1b5e-5f22-4d04-8711-c4b02de02209,b2a5f872-5e24-461c-a6e4-88ef88ad7c8c,d65bcb46-9e34-4e5a-ae09-c5d427674522,Metalllack (lösemittelbasiert),Lacke (auf metall. Untergrund) nicht eingestuft,n.e.,n.e.,n.e.
Mineralfaser Deckenplatten (15 mm),def9e058-ac16-489e-9457-db7645404194,3175cb36-065b-4bc7-9c7e-dd256bba5e8f,4160dc95-17a6-49c0-9a56-66d062c5c632,"Mineralfaser Deckenplatten (Dicke 0,015 m)",Mineralwolle Steinwolle,Dep-,RC-,0.5
Mineralisch modifizierte Trockenschüttung,nicht vorhanden,93629cd1-4a44-4da5-89a8-3a12ac6c81b5,c4c0957c-0e8a-4445-8672-0fc21714751b,Mineralisch modifizierte Trockenschüttung,Holzzement,Dep-,SV,0.25
Mineralwolle (Boden-Dämmung),2691d6e4-a41e-40d7-92ca-680f8785fc1d,58b1ba79-459b-4d58-bc39-91a8f98e71ba,ac779922-219f-4730-9aef-a7da84d334c1,Mineralwolle (Boden-Dämmung),Mineralwolle Glaswolle,Dep-,SV,0.75
Mineralwolle (Fassaden-Dämmung),f8afef87-5de3-4996-838c-1f2af9ef81df,4fa62445-e59f-4874-99e5-49cec91967e0,50d421e2-3a7b-4659-92a4-f20d6a52fcf0,Mineralwolle (Fassaden-Dämmung),Mineralwolle Glaswolle,Dep-,SV,0.75
Mineralwolle (Flachdach-Dämmung),4477c6ca-b728-41fb-a231-366e159a73df,6ef00a53-1ddc-4c60-8840-e57a860ce18b,60311c13-53d4-4cee-8777-1f9c9889b770,Mineralwolle (Flachdach-Dämmung),Mineralwolle Glaswolle,Dep-,SV,0.75
Mineralwolle (Innenausbau-Dämmung),fafd5743-0b42-4614-8e3d-5c4eacdfba98,8808dd39-82fb-49bb-8ad3-6cb0894292ae,a5b22bbe-175d-4aef-bb19-4954e699eb8c,Mineralwolle (Innenausbau-Dämmung),Mineralwolle Glaswolle,Dep-,SV,0.75
Mineralwolle (Schrägdach-Dämmung),86380db6-3062-4d40-826d-732c24ed3cad,cb0c2e5b-be08-47bd-badb-77ac39ae026d,d3661bd8-0107-4081-987b-4bdd5cfcb68d,Mineralwolle (Schrägdach-Dämmung),Mineralwolle Glaswolle,Dep-,SV,0.75
"Natursteinplatte, hart, Außenbereich, Dicke 80mm",da4b704a-c901-414f-943f-8e1ff0f4566c,72d8921b-8ac0-471b-943a-47871bd8d76a,f82e3ab8-d7bb-4765-a60c-bfe78ede1565,"Natursteinplatte, hart, Außenbereich (Dicke 0,08 m)",Stein unbehandelt,CL+,CL+,1
"Natursteinplatte, hart, Fassade (30mm)",cb3f4a56-460c-4a3e-ae43-3e0a9dcb4319,ffadb112-7271-460a-aaec-60135df38fba,e2e9d29e-c775-4eef-af57-de8194db7524,"Natursteinplatte, hart, Fassade (Dicke 0,030 m)",Stein unbehandelt,CL+,CL+,1
"Natursteinplatte, hart, Innenboden (20mm)",e8db532f-ee15-42a4-89c3-5ef789e1fb8f,1e8f900e-eda3-43d9-b2cc-746dc1798a40,c241605d-34f1-44db-bf07-78610e849edb,"Natursteinplatte, hart, Innenboden (Dicke 0,02 m)",Stein unbehandelt,CL+,CL+,1
"Natursteinplatte, weich, Fassade (40mm)",79075297-4dc0-42c6-bc90-e3bf9fa0fb4c,ed73e591-97c9-4348-b3b0-5c88a6f4e1dc,b3e4257b-bdb7-4da2-9c33-990243dd4aa8,"Natursteinplatte, weich, Fassade",Stein unbehandelt,CL+,CL+,1
"Natursteinplatte, weich, Innenboden, Dicke 20mm",ef0d9cbc-4e89-4e78-8cb2-68f02a49b87d,98c9f1b8-ff8c-4089-bd94-ec58b3fa1bf5,37a63555-2ac1-45e8-b802-6d947f30b99a,"Natursteinplatte, weich, Innenboden (Dicke 0,020 m)",Stein unbehandelt,CL+,CL+,1
Nutzung - 1 kWh Endenergie aus Hackschnitzeln (entspr. GEG),nicht vorhanden,5f167dab-507c-4a05-862f-951f177c846a,99b94822-b67a-41e9-b97e-87506985f4d5,Nutzung - 1 kWh Endenergie aus Hackschnitzeln (entspr. GEG),nicht eingestuft,n.e.,n.e.,n.e.
Nylon Gussteil (PA 6.6),7511c948-c441-42fb-9ff1-cfdc54e58d7e,d62953d2-61e8-427b-ada2-8a3c4e9756c1,cedc1a00-0e33-4b63-bf1c-c415241504ea,Nylon Gussteil (PA 6.6) nicht eingestuft,nicht eingestuft,n.e.,n.e.,n.e.
Öl-Brennwertgerät < 20 kW (Standgerät),nicht vorhanden,01eaaeb8-cad1-475c-aadd-111b29ca7468,e2ce4ae2-16b9-44ff-9810-8e56be82300e,Öl-Brennwertgerät < 20 kW (Standgerät),nicht eingestuft,n.e.,n.e.,n.e.
Öl-Brennwertgerät < 20 kW (Wandgerät),nicht vorhanden,31b5024e-90db-4fc8-b6f8-b8919a54eff9,73adb551-9f9d-4151-b111-d50b44b22310,Öl-Brennwertgerät < 20 kW (Wandgerät),nicht eingestuft,n.e.,n.e.,n.e.
Öl-Brennwertgerät 120-400 kW (Standgerät),nicht vorhanden,212a234d-3b2b-4128-9cb2-9024c4540dd0,8c65bb97-c84d-4094-b6f1-55aace7a4efb,Öl-Brennwertgerät 120-400 kW (Standgerät),nicht eingestuft,n.e.,n.e.,n.e.
Öl-Brennwertgerät 20-120 kW (Standgerät),nicht vorhanden,12e03ae6-6e35-4c76-b835-e574ee56aec1,e3f55ed3-88bc-4892-8b6a-e336b8aa9754,Öl-Brennwertgerät 20-120 kW (Standgerät),nicht eingestuft,n.e.,n.e.,n.e.
Öl-Niedertemperaturgerät < 20 kW (Standgerät),nicht vorhanden,6f78777f-ba4d-4ab1-865e-456160085938,88d85c7c-55c7-4746-b0a9-2b1d94e8c2d5,Öl-Niedertemperaturgerät < 20 kW (Standgerät),nicht eingestuft,n.e.,n.e.,n.e.
Öl-Niedertemperaturgerät 120-400 kW (Standgerät),nicht vorhanden,ae703d16-5aef-48a2-910d-c1004677b665,78b3c876-98f6-4b4e-b2bf-28773007486e,Öl-Niedertemperaturgerät 120-400 kW (Standgerät),nicht eingestuft,n.e.,n.e.,n.e.
Öl-Niedertemperaturgerät 20-120 kW (Standgerät),nicht vorhanden,b2d632fd-5d02-4a45-b1af-3ff87a21dec2,95bab8d2-aeaf-491b-8c3a-c5907e67a5ed,Öl-Niedertemperaturgerät 20-120 kW (Standgerät),nicht eingestuft,n.e.,n.e.,n.e.
Öltank PE-HD (1000l),nicht vorhanden,5f587be5-4949-40d4-b540-5d2164704a79,0edf7a98-0624-4a38-88ce-52b52d4d0fe1,Öltank PE-HD (1000l),nicht eingestuft,n.e.,n.e.,n.e.
Öltank PE-HD (1500),nicht vorhanden,ad798696-adc3-42b3-a4c5-e1ce56beefab,48504085-a7f3-47fd-b917-ca17df9dce47,Öltank PE-HD (1500),nicht eingestuft,n.e.,n.e.,n.e.
Öltank PE-HD (750l),nicht vorhanden,aae53979-dfc0-4e6e-8306-e71d609eec96,e1310412-32fc-4b89-83c7-203a72b60a1a,Öltank PE-HD (750l),nicht eingestuft,n.e.,n.e.,n.e.
Öltank Polyamid (1000l),nicht vorhanden,c30ddd87-ffc4-4bb3-b867-3c5b53e28a37,c838125d-2371-4443-b90a-95f974ac239c,Öltank Polyamid (1000l),nicht eingestuft,n.e.,n.e.,n.e.
Öltank Polyamid (1500l),nicht vorhanden,33fe410b-cbdc-46b5-83e0-375efaddac9b,16e93957-5041-4d81-8651-9c68b4fe7bab,Öltank Polyamid (1500l),nicht eingestuft,n.e.,n.e.,n.e.
Öltank Polyamid (750l),nicht vorhanden,12a48d84-032e-4f88-b511-3a5360e58c0e,c7bdc2ee-7d0b-4ec3-b7ef-c38a753a0100,Öltank Polyamid (750l),nicht eingestuft,n.e.,n.e.,n.e.
"Öltank Stahl/PE-HD (Doppelwandtank, 1000l)",nicht vorhanden,01b54892-5fbc-4f28-ae33-76775debdbc4,a96577bf-b144-4ae4-8a5c-8b89b16e1033,"Öltank Stahl/PE-HD (Doppelwandtank, 1000l)",nicht eingestuft,n.e.,n.e.,n.e.
"Öltank Stahl/PE-HD (Doppelwandtank, 750l)",nicht vorhanden,a5ada9a6-72dd-4720-ace5-d01b17260c7b,e421b0a4-d318-4945-aded-b55178541806,"Öltank Stahl/PE-HD (Doppelwandtank, 750l)",nicht eingestuft,n.e.,n.e.,n.e.
,,,,OSB Platte,Holzwerkstoff - nicht beschichtet,RC+,RC+,1
"Parkettlack Grundierung, Holz, wasserverdünnt",859897ae-5ea2-4b55-9508-49297dd6ba6c,b97c7ace-c925-4c13-be59-d338fcc77f6b,76331b58-1ec3-4dd2-a87c-3736e774ca07,"Parkettlack (Grundierung Holz, wasserverdünnt)",Lacke (auf Holzuntergrund),EV-,EV-,0
Parkettlack transparent,c1328d7d-8ad6-4e74-a701-ffab0c542534,f2e87b9c-45a7-4b6c-bd81-1abb81e061e1,43d72a8a-3f3c-49ab-91fc-b4b9b409d987,Parkettlack transparent,Lacke (auf Holzuntergrund),EV-,EV-,0
,,,,PE Weichschaum,KSTDämm (PE),EV-,EV-,0
PE/PP Vlies,95a4f4b3-b354-4e2c-9046-0a36175cd768,e80981a3-c7c4-4267-b669-0f31cfa61f06,42d6f768-fb28-4105-ad21-078cc7af27a6,PE/PP Vlies,KSTBahn,EV-,EV-,0
,,,,PE-Drainageplatten,KSTDämm (PE),EV-,EV-,0
PE-HD mit PP-Vlies zur Abdichtung,900336a3-b5f9-4c40-91a9-f9551f84ac64,2173d540-fc7c-4b77-af4f-9a53cdbfb834,ed734c48-a58f-4f92-a9f7-57631b500fdc,PE-HD mit PP-Vlies zur Abdichtung,KSTBahn,EV-,EV-,0
PE-Noppenfolie zur Abdichtung,49b4cbe9-ac63-4811-a1c7-dd7278db8ac0,0dbca1ff-d043-408f-9511-6aeddf8e5f70,5f0bc680-a252-46d6-a47a-a4b5a05318bc,PE-Noppenfolie zur Abdichtung,KSTBahn,EV-,EV-,0
Pelletkessel < 20 kW,nicht vorhanden,b35b5d3f-ba8d-4dab-84c1-d32ca56f8e7d,19953f6d-d611-47cc-a4b8-529a7df976a2,Pelletkessel < 20 kW,nicht eingestuft,n.e.,n.e.,n.e.
Pelletkessel 20-120 kW,,3a5143bc-b790-4ee2-9952-2ec580023d43,872517c5-aeaf-4322-b19a-1d9fa9a33f6b,Pelletkessel 20-120 kW,nicht eingestuft,n.e.,n.e.,n.e.
Perlite 0-1,82c7e263-3026-45f8-aec7-ebdf818464e4,07d95427-572c-413c-ab1a-ef5e991c69ef,ad49148a-69c3-41b5-9cbb-d93a31f1fd17,Perlite 0-1,Bims / Blähschüttung,Dep+,RC+,0.75
Perlite 0-3,44c57da1-24ce-488d-b4f9-283fa603cc9d,e9cee0e5-e898-45dc-8431-a3ce91acb787,d69a69ca-9323-4a28-81f7-ed8b457080c6,Perlite 0-3,Bims / Blähschüttung,Dep+,RC+,0.75
Pfosten/Riegel aus Aluminium,nicht vorhanden,03329c6a-b5f2-47c8-a8db-1bd3b003857c,f18ac191-cfcc-4068-a6c5-38ba25442d9b,Pfosten/Riegel aus Aluminium,Alu-Pfosten-Riegel-Konstr. ungedämmt,RC+,RC+,1
Pfosten/Riegel System aus Aluminium mit Dreifachverglasung,nicht vorhanden,4dd9a97f-6afa-4e12-a0fb-71da41d7afe4,d6165976-4580-4ecb-9168-3f62de9d5022,Pfosten/Riegel System aus Aluminium mit Dreifachverglasung,nicht eingestuft,n.e.,n.e.,n.e.
Pfosten/Riegelsystem aus Stahl,nicht vorhanden,1121bd10-6918-441c-b18b-8264a277c919,1e56bbe7-38f8-40a5-817b-8fa10c56a66e,Pfosten/Riegelsystem aus Stahl,Alu-Pfosten-Riegel-Konstr. ungedämmt,CL-,CL-,1
Pfosten/Riegel System aus Stahl mit Dreifachverglasung,nicht vorhanden,77dbec35-a9ed-462f-91dc-c26fce408a2b,076ce1f1-3060-4634-b4e4-c4d5442fe653,Pfosten/Riegel System aus Stahl mit Dreifachverglasung,nicht eingestuft,n.e.,n.e.,n.e.
Phenolharz Hartschaum,cf6e341b-3de7-4e24-b4d2-8ac484ee7c0e,310d5742-487d-4a4c-9e85-126574a2d3a8,4da47295-f607-4254-ab06-6925e3d5fc07,Phenolharz Hartschaum,"KSTDämm (Phenol, Melamin,…)",EB,EB,0
Photovoltaiksystem 1000 kWh/m2*a,nicht vorhanden,5a726d68-3b9b-4044-9872-7424594f2dd3,09c650e7-2155-4d26-966a-119c1e0691bb,Photovoltaiksystem 1000 kWh/m2*a,nicht eingestuft,n.e.,n.e.,n.e.
Photovoltaiksystem 1000 kWh/m2*a ohne Stromgutschrift,nicht vorhanden,236ee906-0090-42ab-90ae-37bc553be0a0,b7764626-23be-423a-9c59-9e8cb7724eee,Photovoltaiksystem 1000 kWh/m2*a ohne Stromgutschrift,nicht eingestuft,n.e.,n.e.,n.e.
Photovoltaiksystem 1200 kWh/m2*a,nicht vorhanden,d8af885e-b3f4-49f9-96f5-01fc4955f83f,0c15bd96-1b56-4626-8ee4-1cbb9c3742c8,Photovoltaiksystem 1200 kWh/m2*a,nicht eingestuft,n.e.,n.e.,n.e.
Photovoltaiksystem 1200 kWh/m2*a ohne Stromgutschrift,nicht vorhanden,0c3eab92-5a2b-415a-a641-22542c7134fe,9025ea0f-be47-4b50-8099-62869c3de6c8,Photovoltaiksystem 1200 kWh/m2*a ohne Stromgutschrift,nicht eingestuft,n.e.,n.e.,n.e.
,,,,PIB-Dachbahnen (Polyisobutylen),KSTBahn,EV-,EV-,0
PIR Hartschaum,2c076ee7-3853-4f69-9bf5-8ec265fa43e0,c2ba651c-00bf-4f69-a0dc-a6a5fe680652,355dbd58-78dc-45cc-be8a-43d66d117e15,PIR Hartschaum (250 kg/m³),"KSTDämm (PUR, PIR)",EB,SV,0.25
Polybutadien-Rohr (PB),nicht vorhanden,5a9bb863-f67d-4b2c-b34f-3eb8ed1c8b42,4a64b834-1c75-40e8-a7c9-cc1fff34a915,Polybutadien-Rohr (PB),nicht eingestuft,n.e.,n.e.,n.e.
Polycarbonatplatte,6fc1267a-1f4d-4244-a65e-df8a0a3ccc50,3f617412-e411-4b33-b81f-27e1ec0a6545,dcfd896b-9b7d-42a5-b47b-3643a8870e6a,Polycarbonatplatte,KSTPlatte (zB transparente Platten),EV-,EV-,0
Polyethylen-Schaum,65af52ac-382b-4069-aafe-b044b3960356,fa802cb7-a64d-48b3-b928-0f9976420d37,52ac8701-d612-4cc9-8037-b2dc2a293a8c,Polyethylen-Schaum,KSTDämm (PE),EV-,EV-,0
,,,,Polymer-Bitumenabdichtungsbahn,Bitubahn (ggf. mit Glasvlies),EV-,RC-,0.25
Polypropylen-Rohr (PP),nicht vorhanden,8c53cf57-5414-449f-9a1e-c0041657fd50,b33e1c3f-9ad8-4b5f-8359-11f80ea7f1c0,Polypropylen-Rohr (PP),nicht eingestuft,n.e.,n.e.,n.e.
Porenbeton Granulat,nicht vorhanden,907545ae-8eac-47a7-9b1b-47a474a16749,01f45a03-460d-4e55-b5c9-72d3e8eda18e,Porenbeton Granulat,Porenbeton-Granulat,Dep+,RC+,0.75
Porenbeton Mineraldämmplatte,nicht vorhanden,a5114c35-1779-4eb2-9694-46bcc8fe5e45,414d0e5b-7628-466c-89d3-56e107b60aa6,Porenbeton Mineraldämmplatte,Mineralplatte,Dep+,SV,0.75
Porenbeton P2 04 unbewehrt,906b4864-0511-480f-a8bc-7b8302efbf0b,dfac45db-fd07-4dcb-9359-2b8b4e882d62,c5310f2b-23a1-4059-ba25-80d9b3e933f5,"Porenbeton P2 04 unbewehrt, Rho 380 kg/m³",Porenbeton - unbewehrt,Dep+,RC-,0.75
Porenbeton P4 05 bewehrt,d3b59cac-3b4e-4d18-8c3a-780b553c9591,34aa0d55-ab02-41f0-84e1-f8a28cc6280e,45e2894f-09e7-4152-a4bd-8a13f6d5b0c3,Porenbeton P4 05 bewehrt,Porenbeton - bewehrt,Dep+,RC-,0.75
Porenbeton P4 05 unbewehrt,1a43ae76-2dc9-4a3a-9926-47e7137e773d,3c6051d0-2062-4a92-9f4c-0d48c911978d,f1e6c40e-3f2e-4435-9fd8-abc2dd96c38c,"Porenbeton P4 05 unbewehrt, Rho 472 kg/m³",Porenbeton - unbewehrt,Dep+,RC-,0.75
,,,,PP-/PE Folie,KSTBahn,EV-,EV-,0
Propan (R290),nicht vorhanden,9e9a625d-28eb-4dbd-8278-6da8088ab8a1,2857b845-c8e2-42bd-98a1-8ec6b81d721b,Propan (R290),nicht eingestuft,n.e.,n.e.,n.e.
Pufferspeicher (Edelstahl),nicht vorhanden,6899ae8e-86d3-42d0-a1ba-efe711b3aef2,1aa165a1-32ca-461a-a006-3736d3c9c8e2,Pufferspeicher (Edelstahl),nicht eingestuft,n.e.,n.e.,n.e.
Pufferspeicher (Stahl),nicht vorhanden,6a3a34ff-d40c-474b-9039-4f8db6e7c732,06f15a8b-ce68-4591-a723-2e86cea95c8b,Pufferspeicher (Stahl),nicht eingestuft,n.e.,n.e.,n.e.
Pulverbeschichten von Metallen,d61a6f60-bcca-4bf6-a151-bd076b4c3366,1d5bba40-a703-4d90-83fd-15593f5936b4,7653ae94-db9b-4576-a189-80ba83b1a7a9,Pulverbeschichten von Metallen,Lacke (auf metall. Untergrund) nicht eingestuft,,n.e.,n.e.
"Pulverlackierung (Industrie, Außenbereich, weiß)",eaec8e5d-f70a-4993-b3a6-814607f5e7b3,655a3a77-ab75-4553-a706-655d1de10292,7f340509-9f45-45bb-a34e-1b94d204107c,"Pulverlackierung (Industrie, Außenbereich, weiß)",Lacke (auf metall. Untergrund) nicht eingestuft,,n.e.,n.e.
PUR Hartschaum,nicht vorhanden,fb68a5d1-82eb-4e36-b5bd-8db0f3ee7a6d,b960f95d-466b-4014-9565-64e51407a364,PUR/PIR Dämmstoff (32 kg/m³),"KSTDämm (PUR, PIR)",EB,SV,0.25
PUR-Dichtmasse,c34147d4-e691-4733-bf78-8a7ccd039006,302acb89-846f-400c-ba6e-84640d360c1d,92ddc155-28e8-44d5-8e15-b7475f5d6872,PUR-Dichtmasse,"Bitumenkaltkleber, Glasvlies, Glasfaserarmierung, Dichtmassen..",EB,EB,0
PVC Fußbodenbelag,39da14a3-8f39-4af9-955c-6a70f091acb8,788de5d9-a671-4cd6-9e86-760bb5203ec1,fde18fdc-ca6b-41d3-9918-aab96177fc24,PVC Fußbodenbelag,PVC-Belag,EB,SV,0.75
PVC Plastisol,0e39587e-8c05-4a8e-80b5-bb9a57bbe164,658b2d08-fd24-4d43-a469-203d594b2278,fabf4cb9-5298-442c-8a8b-f6312e39d5af,PVC Plastisol,"Bitumenkaltkleber, Glasvlies, Glasfaserarmierung,..",EB,SV,0.5
PVC-Dachbahnen,4f4e989b-bd5e-4d85-9a50-53f3c61eea70,57bb6738-f9d8-4c59-b00a-00a217e9feba,ab14e105-1768-4cd7-bcd2-3436c16fad16,PVC-Dachbahnen,PVC-Folie,EB,SV,0.5
PVC-Dachbahnen,4f4e989b-bd5e-4d85-9a50-53f3c61eea70,57bb6738-f9d8-4c59-b00a-00a217e9feba,ab14e105-1768-4cd7-bcd2-3436c16fad16,PVC-Dachbahnen - nicht rückbaubar (Neueinstuf.),PVC-Folie - verklebt oder nicht rückbaubar,EB,EB,0
Rasterleuchte 2x T8-36W (LFL),nicht vorhanden,82f2e627-363c-4892-b5f8-9535cbc1fab9,6293ec16-2f99-4620-a032-fd6e57912a6c,Rasterleuchte 2x T8-36W (LFL),nicht eingestuft,n.e.,n.e.,n.e.
Rasterleuchte Deckenintegriert 2x T5-28W (LFL),nicht vorhanden,aa724807-9b3d-45e2-99f1-8f2166d47456,6fb34a73-9388-4b40-b04b-6435a823fe2f,Rasterleuchte Deckenintegriert 2x T5-28W (LFL),nicht eingestuft,n.e.,n.e.,n.e.
Rasterleuchte Deckenintegriert 3x T5-14W (LFL),nicht vorhanden,a45482b5-81a1-4758-889b-829017bd000e,a2d093ee-fbb2-46f6-a040-a3ae277d2627,Rasterleuchte Deckenintegriert 3x T5-14W (LFL),nicht eingestuft,n.e.,n.e.,n.e.
Rasterleuchte Deckenintegriert 3x T8-18W (LFL),nicht vorhanden,6db798a0-de76-44fa-a275-97953f2208a0,08790652-66ef-4b6f-bd13-30cc0f115bad,Rasterleuchte Deckenintegriert 3x T8-18W (LFL),nicht eingestuft,n.e.,n.e.,n.e.
"Reaktionsharz auf Epoxidharzbasis, gefüllt",nicht vorhanden,13f0fd9d-3ef6-4453-9d2d-21f2bf4136c5,5916a356-69a8-457e-9b54-1232d6af5da9,"Reaktionsharz auf Epoxidharzbasis, gefüllt","Kleber (nicht-mineralisch: Kunstharzkleber,…)",EV-,EV-,0
Reaktionsharz auf Methacrylatharzbasis,nicht vorhanden,d5b825fb-d0c8-4b7b-899e-2082343c7d9b,374ca550-9556-4a9c-9de5-a9cb80b8b8f1,Reaktionsharz auf Methacrylatharzbasis,"Kleber (nicht-mineralisch: Kunstharzkleber,…)",EV-,EV-,0
"Reaktionsharz auf Polyurethan-Basis, wässrig, lösemittelfrei",nicht vorhanden,b35d785c-8f1b-48a1-ba19-6ddce4cb81c3,e23fcf3f-c4a6-4e45-a97b-e5db88aa5fa0,"Reaktionsharz auf Polyurethan-Basis, wässrig, lösemittelfrei","Kleber (nicht-mineralisch: Kunstharzkleber,…)",EV-,EV-,0
Recycling Transportbeton C20/25,nicht vorhanden,6739667a-49d1-4a9c-a4b2-eb542167710c,8f11c179-e367-4833-93f3-10597923c79c,Recycling Transportbeton C20/25 - exkl. Bewehrung,Beton Standard (ohne Bewehr.),RC+,RC+,1
Recycling Transportbeton C25/30,nicht vorhanden,899ad6d2-c598-4831-bc0a-8638aa034a69,61c0c795-7116-407d-8635-68fe422f76a9,Recycling Transportbeton C25/30 - exkl. Bewehrung,Beton Standard (ohne Bewehr.),RC+,RC+,1
Recycling Transportbeton C30/37,nicht vorhanden,b38f2dac-fa08-4a9c-ae8d-017f6e2f169f,3e15eb88-e824-4a81-972a-45e06930aa19,Recycling Transportbeton C30/37 - exkl. Bewehrung,Beton Standard (ohne Bewehr.),RC+,RC+,1
Recycling Transportbeton C50/60,nicht vorhanden,5c89cce2-688c-4fed-aa02-eda80ffba5f7,732a4fb1-1017-4682-ac12-49a256354964,Recycling Transportbeton C50/60  - exkl. Bewehrung,Beton Standard (ohne Bewehr.),RC+,RC+,1
Regenabflussrohr PVC,d9baa9f5-b9d2-4f8f-928d-2f4116b36662,5030f4d2-b8ae-4a72-9c76-e21b0a7d9089,183aa7d9-93cc-4851-8b92-a5180db247cc,Regenabflussrohr PVC,nicht eingestuft,n.e.,n.e.,n.e.
Regenabflussrohr SML,64e16249-8051-483b-968e-46008a43ef18,0ff1831a-bca2-44d0-a277-e416eb8a9b5a,7c18fec9-7193-41fd-bccf-6b369ff5adc4,Regenabflussrohr SML,nicht eingestuft,n.e.,n.e.,n.e.
"Rohre für Strom-Wärmepumpe (Sole-Wasser, Erdkollektor) 10 kW",nicht vorhanden,9044465d-5a05-442b-a82c-a40c26cf4150,95622443-d6bc-40ca-a447-2ed599f6d723,"Rohre für Strom-Wärmepumpe (Sole-Wasser, Erdkollektor) 10 kW",nicht eingestuft,n.e.,n.e.,n.e.
"Rohre für Strom-Wärmepumpe (Sole-Wasser, Erdkollektor) 20 kW",nicht vorhanden,f5499876-5da9-4807-a30e-9203559a1636,8fe044a8-dc7f-49ba-939e-8357b4e2c9b8,"Rohre für Strom-Wärmepumpe (Sole-Wasser, Erdkollektor) 20 kW",nicht eingestuft,n.e.,n.e.,n.e.
"Rohre für Strom-Wärmepumpe (Sole-Wasser, Erdkollektor) 70 kW",nicht vorhanden,4c1af887-edea-4350-8d75-e54e8b5ca7dc,65f2b726-4866-4d4f-8020-3b0268806860,"Rohre für Strom-Wärmepumpe (Sole-Wasser, Erdkollektor) 70 kW",nicht eingestuft,n.e.,n.e.,n.e.
"Rohre für Strom-Wärmepumpe (Sole-Wasser, Erdsonde) 10 kW",nicht vorhanden,87e96a7e-8a0b-432f-930b-6b06d07c12c7,0f77239d-41e8-4eac-8ab3-a8f6d5f3ebf1,"Rohre für Strom-Wärmepumpe (Sole-Wasser, Erdsonde) 10 kW",nicht eingestuft,n.e.,n.e.,n.e.
"Rohre für Strom-Wärmepumpe (Sole-Wasser, Erdsonde) 20 kW",nicht vorhanden,93a80673-df5c-4432-958f-f241ff31fd9a,78153bf0-abcf-4a5d-8a81-3de1bbc022b5,"Rohre für Strom-Wärmepumpe (Sole-Wasser, Erdsonde) 20 kW",nicht eingestuft,n.e.,n.e.,n.e.
"Rohre für Strom-Wärmepumpe (Sole-Wasser, Erdsonde) 70 kW",nicht vorhanden,734f7419-1378-4b79-af5e-09297e5965d9,7790235b-cecd-4345-8cd4-1c5452191163,"Rohre für Strom-Wärmepumpe (Sole-Wasser, Erdsonde) 70 kW",nicht eingestuft,n.e.,n.e.,n.e.
Rohre für Strom-Wärmepumpe (Wasser-Wasser) 10 kW,nicht vorhanden,02b43df9-fe34-4839-ac3e-5b47cc5f7674,8d2d5241-1729-4925-922d-fbebef7f23e4,Rohre für Strom-Wärmepumpe (Wasser-Wasser) 10 kW,nicht eingestuft,n.e.,n.e.,n.e.
Rohre für Strom-Wärmepumpe (Wasser-Wasser) 20 kW,nicht vorhanden,bbc25eaf-d126-4649-b8fa-0e90b67d314f,369ccdd7-104d-46a9-b3e3-81bc1a19ac80,Rohre für Strom-Wärmepumpe (Wasser-Wasser) 20 kW,nicht eingestuft,n.e.,n.e.,n.e.
Rohre für Strom-Wärmepumpe (Wasser-Wasser) 70 kW,nicht vorhanden,4270c3ec-7943-4bac-99de-d53043f0f33c,9d5885b7-d44a-432d-9ad0-d82874f7cf39,Rohre für Strom-Wärmepumpe (Wasser-Wasser) 70 kW,nicht eingestuft,n.e.,n.e.,n.e.
Rollladen Kunststoff,nicht vorhanden,986d66de-db26-4512-a113-6e9486324d20,22fc9344-b3d4-4fb9-8d53-44be798491b8,Rollladen Kunststoff,nicht eingestuft,n.e.,n.e.,n.e.
